uid,max_distance_from_home,maximum_distance,max_tot,wait,distance_straight_line,sld_avg,radius_of_gyration,norm_uncorrelated_entropy,number_of_visits,nv_avg,number_of_locations,nlr,raw_home_freq,raw_work_freq,raw_least_freq,home_freq_avg,work_freq_avg,hf_tot_df,wf_tot_df,n_user_home,n_user_work,n_user_home_avg,n_user_work_avg,home_entropy,work_entropy,class
604,7.101977674663104,8.202817885283215,0.24958899397818668,0.0,132.38454937724026,4.412818312574675,3.215863577006811,0.9285464837953055,37,1.2333333333333334,20,0.0088261253309797,6,4,1,0.2,0.13333333333333333,0.1111111111111111,0.10810810810810811,15,4,0.005664085076869726,0.005664085076869726,2.946863742064376,1.4230640482135952,5
690,12.568637292164606,12.546096427439425,0.38174291194443755,0.0,56.23106989672967,1.8743689965576558,3.0969101234102565,0.888382569824364,21,0.7,10,0.00441306266548985,6,4,1,0.2,0.13333333333333333,0.018518518518518517,0.043010752688172046,27,31,0.005664085076869726,0.005664085076869726,4.184303446616121,3.668313590830627,5
907,3.6142954376351875,4.426282737912275,0.13467950539296838,0.0,53.3890220554111,1.7796340685137033,0.9360517003700237,0.4734431762997817,61,2.033333333333333,11,0.0048543689320388345,44,7,1,1.4666666666666666,0.23333333333333334,0.10344827586206896,0.010752688172043012,167,339,0.005664085076869726,0.005664085076869726,6.087590947802098,6.934378976513083,5
1007,2.948372457080266,3.0174961327483976,0.09181403691247965,0.0,9.057322443117126,0.3019107481039042,0.9560340706746175,0.6388067184095578,11,0.36666666666666664,4,0.00176522506619594,8,1,1,0.26666666666666666,0.03333333333333333,0.13793103448275862,0.03225806451612903,5,38,0.005664085076869726,0.005664085076869726,1.511918156985968,3.7150863539286725,5
1859,7.783489741810696,5.691526388498889,0.17317735994777522,0.0,38.625844295933746,1.2875281431977916,2.504804011462267,0.9796133097990339,16,0.5333333333333333,13,0.005736981465136805,2,2,1,0.06666666666666667,0.06666666666666667,0.06303724928366762,0.010752688172043012,5,27,0.005664085076869726,0.005664085076869726,1.2876878900165245,4.138096091258378,5
2339,2.994209662582775,3.5842102483393705,0.10905757540884907,0.0,12.489120404351809,0.41630401347839363,0.9377512447697668,0.9136782503460236,14,0.4666666666666667,9,0.003971756398940865,4,3,1,0.06666666666666667,0.1,0.004297994269340974,0.10752688172043011,78,34,0.005664085076869726,0.005664085076869726,4.994802086953481,4.004044857030702,5
2416,0.8027502139622902,0.8027502139622902,0.024425462215623046,0.0,0.8027502139622902,0.02675834046540967,0.40137510717138575,1.0,2,0.06666666666666667,2,0.00088261253309797,1,1,1,0.13333333333333333,0.03333333333333333,0.0014326647564469914,0.003381642512077295,35,39,0.005664085076869726,0.00520171078488036,3.746986595415307,3.52968705633452,3
2476,16.639700490355388,16.639700490355388,0.5062999280938868,0.0,38.831179264097884,1.2943726421365962,4.032801234044265,0.619852966326115,17,0.5666666666666667,5,0.002206531332744925,12,2,1,0.03333333333333333,0.06666666666666667,0.0057306590257879654,0.004347826086956522,52,68,0.005664085076869726,0.00520171078488036,4.138082449825574,4.660716002983262,5
2589,3.64466055870389,3.64466055870389,0.11089691066662903,0.0,9.682420277456602,0.32274734258188675,2.249554428213418,0.9463946303571862,4,0.13333333333333333,3,0.001323918799646955,2,1,1,0.4,0.03333333333333333,0.04011461318051576,0.000966183574879227,78,11,0.005664085076869726,0.00520171078488036,4.994802086953481,2.761211300864365,5
2662,9.727712936684089,9.727712936684089,0.2959873203977325,0.0,32.84974916456215,1.0949916388187382,3.323196045990727,0.7180212293982637,17,0.5666666666666667,7,0.003089143865842895,10,2,1,0.06666666666666667,0.06666666666666667,0.0071633237822349575,0.0004830917874396135,37,22,0.005664085076869726,0.00520171078488036,4.2612350843220455,3.843380584829467,5
